merchantid,merchantSlug,businessType,Industry,customerSegment,market,First_Shipment_Month,Delivery_Month,Delivery_Year,delivery_quarter,GMV,First_Shipment_Quarter_Year,Delivery_Month_Year,Delivery_Quarter_Year
UC12Z79ureblpZ2wW6sG,hale-coffee-co,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,5,2021,$2.00,814.86,2021-02-01,5-2021,2-2021
UC12Z79ureblpZ2wW6sG,hale-coffee-co,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,3,2022,$1.00,836.085558,2021-02-01,3-2022,1-2022
UC12Z79ureblpZ2wW6sG,hale-coffee-co,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,9,2021,$3.00,1040.04,2021-02-01,9-2021,3-2021
UC12Z79ureblpZ2wW6sG,hale-coffee-co,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,10,2021,$4.00,1177.74,2021-02-01,10-2021,4-2021
UC12Z79ureblpZ2wW6sG,hale-coffee-co,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,8,2021,$3.00,1261.98,2021-02-01,8-2021,3-2021
UC12Z79ureblpZ2wW6sG,hale-coffee-co,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,12,2021,$4.00,1346.22,2021-02-01,12-2021,4-2021
UC12Z79ureblpZ2wW6sG,hale-coffee-co,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,7,2021,$3.00,1354.32,2021-02-01,7-2021,3-2021
UC12Z79ureblpZ2wW6sG,hale-coffee-co,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,2,2022,$1.00,1369.215484,2021-02-01,2-2022,1-2022
UC12Z79ureblpZ2wW6sG,hale-coffee-co,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,6,2021,$2.00,1456.38,2021-02-01,6-2021,2-2021
UC12Z79ureblpZ2wW6sG,hale-coffee-co,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,1,2022,$1.00,1606.435584,2021-02-01,1-2022,1-2022
NlwlFIdSB1jujKss1jKa,pehr-designs-canada,eCommerce,Apparel,Small Business,Toronto,2021-04-01,9,2021,$3.00,51.03,2021-02-01,9-2021,3-2021
